tipo,repeticion,valor
vd2_ms,1,984.0
vd2_ms,2,934.0
vd2_ms,3,985.0
vd2_ms,4,984.0
vd2_ms,5,998.0
vd2_ms,6,992.0
vd2_ms,7,993.0
vd2_ms,8,1003.0
vd2_ms,9,974.0
vd2_ms,10,914.0
vd2_ms,11,992.0
vd2_ms,12,960.0
vd2_ms,13,994.0
vd2_ms,14,995.0
vd2_ms,15,999.0
vd2_ms,16,953.0
vd2_ms,17,958.0
vd2_ms,18,977.0
vd2_ms,19,993.0
vd2_ms,20,1004.0
vd2_ms,21,967.0
vd2_ms,22,995.0
vd2_ms,23,980.0
vd2_ms,24,1004.0
vd2_ms,25,920.0
vd2_ms,26,993.0
vd2_ms,27,969.0
vd2_ms,28,999.0
vd2_ms,29,1004.0
vd2_ms,30,971.0
vd1_registros,1,6191
vd1_registros,2,6035
vd1_registros,3,6162
