tipo,repeticion,valor
vd2_ms,1,2.0
vd2_ms,2,2.0
vd2_ms,3,1.0
vd2_ms,4,1.0
vd2_ms,5,2.0
vd2_ms,6,1.0
vd2_ms,7,1.0
vd2_ms,8,1.0
vd2_ms,9,1.0
vd2_ms,10,2.0
vd2_ms,11,2.0
vd2_ms,12,2.0
vd2_ms,13,1.0
vd2_ms,14,820.0
vd2_ms,15,2.0
vd2_ms,16,1.0
vd2_ms,17,2.0
vd2_ms,18,2.0
vd2_ms,19,1.0
vd2_ms,20,2.0
vd2_ms,21,1.0
vd2_ms,22,2.0
vd2_ms,23,2.0
vd2_ms,24,775.0
vd2_ms,25,2.0
vd2_ms,26,2.0
vd2_ms,27,1.0
vd2_ms,28,2.0
vd2_ms,29,1.0
vd2_ms,30,2.0
vd1_registros,1,52
vd1_registros,2,52
vd1_registros,3,52
vd1_registros,4,52
vd1_registros,5,52
