tipo,repeticion,valor
vd2_ms,1,999.0
vd2_ms,2,985.0
vd2_ms,3,966.0
vd2_ms,4,1004.0
vd2_ms,5,1001.0
vd2_ms,6,1002.0
vd2_ms,7,1002.0
vd2_ms,8,978.0
vd2_ms,9,968.0
vd2_ms,10,978.0
vd2_ms,11,978.0
vd2_ms,12,984.0
vd2_ms,13,968.0
vd2_ms,14,987.0
vd2_ms,15,995.0
vd2_ms,16,998.0
vd2_ms,17,1000.0
vd2_ms,18,998.0
vd2_ms,19,992.0
vd2_ms,20,994.0
vd2_ms,21,996.0
vd2_ms,22,999.0
vd2_ms,23,995.0
vd2_ms,24,1003.0
vd2_ms,25,1002.0
vd2_ms,26,1001.0
vd2_ms,27,997.0
vd2_ms,28,972.0
vd2_ms,29,997.0
vd2_ms,30,1010.0
vd1_registros,1,7147
vd1_registros,2,5598
vd1_registros,3,3428
