tipo,repeticion,valor
vd2_ms,1,994.0
vd2_ms,2,988.0
vd2_ms,3,985.0
vd2_ms,4,974.0
vd2_ms,5,1002.0
vd2_ms,6,982.0
vd2_ms,7,964.0
vd2_ms,8,996.0
vd2_ms,9,1001.0
vd2_ms,10,982.0
vd2_ms,11,988.0
vd2_ms,12,955.0
vd2_ms,13,991.0
vd2_ms,14,996.0
vd2_ms,15,984.0
vd2_ms,16,988.0
vd2_ms,17,992.0
vd2_ms,18,1001.0
vd2_ms,19,997.0
vd2_ms,20,999.0
vd2_ms,21,964.0
vd2_ms,22,987.0
vd2_ms,23,1003.0
vd2_ms,24,994.0
vd2_ms,25,976.0
vd2_ms,26,997.0
vd2_ms,27,933.0
vd2_ms,28,1001.0
vd2_ms,29,959.0
vd2_ms,30,988.0
vd1_registros,1,4868
vd1_registros,2,4930
vd1_registros,3,4845
