escenario,diseno,vd1_mediana_registros_2min,vd1_prom_registros_2min,vd1_std,vd2_mediana_ms,vd2_p90_ms,vd2_p95_ms,vd1_repeticiones,vd2_repeticiones,red
A,original,2738,2745.3,13.58,986.5,997.2,999,3,30,limpia
A,multihilo_4,4716,4721.7,44.77,977.5,1001.2,1003,3,30,limpia
A,multihilo_8,5392,5363,113.32,988,1002,1003.1,3,30,limpia
A,multihilo_16,5306,5277.7,103.45,982,999.1,1001.1,3,30,limpia
A,multihilo_32,5055,5017.7,126.21,979,1002.1,1003,3,30,limpia
A,multihilo_64,6162,6129.3,82.97,988.5,1003.1,1004,3,30,limpia
A,multihilo_128,5324,5343.3,41.53,981.5,996.7,1003,3,30,limpia
B,original,2629,2690.7,209.42,972.5,988.1,990.65,3,30,limpia
B,multihilo_4,4443,4496.7,167.09,986.5,1001,1001,3,30,limpia
B,multihilo_8,5213,5198.7,213.86,980.5,999.4,1003,3,30,limpia
B,multihilo_16,5401,5336.7,117.54,981,999.1,1000,3,30,limpia
B,multihilo_32,5103,5098.7,42.67,966.5,996,997.1,3,30,limpia
B,multihilo_64,5013,4876.7,324.73,966,1000,1000.55,3,30,limpia
B,multihilo_128,5232,5143,174.45,978.5,997.2,999.55,3,30,limpia
A,original,-1,-1,0,1.0,8.7,121.8,0,30,sin_carga
A,multihilo_4,-1,-1,0,1.0,2.4,453.15,0,30,sin_carga
A,multihilo_16,-1,-1,0,1.0,2.0,355.65,0,30,sin_carga
A,multihilo_32,-1,-1,0,1.0,2.0,235.75,0,30,sin_carga
B,original,-1,-1,0,1.0,2.1,74.5,0,30,sin_carga
B,multihilo_4,-1,-1,0,1.0,73.9,746.85,0,30,sin_carga
B,multihilo_16,-1,-1,0,1.0,2.0,420.0,0,30,sin_carga
B,multihilo_32,-1,-1,0,1.0,1.0,1.0,0,29,sin_carga
A,original,-1,-1,0,20.0,37.5,426.5,0,30,congestionada
A,multihilo_4,-1,-1,0,20.0,27.3,312.95,0,30,congestionada
A,multihilo_16,-1,-1,0,26.0,31.0,31.55,0,30,congestionada
A,multihilo_32,-1,-1,0,20.0,25.5,290.75,0,30,congestionada
B,original,-1,-1,0,22.0,24.1,167.45,0,30,congestionada
B,multihilo_4,-1,-1,0,20.0,37.4,249.3,0,30,congestionada
B,multihilo_16,-1,-1,0,20.0,26.1,206.9,0,30,congestionada
B,multihilo_32,-1,-1,0,20.0,38.7,415.95,0,30,congestionada
